hnid,school,field_of_study,year
stefanreuther,Technical University of Munich,Electrical Engineering,2018
stefanreuther,University of Amsterdam,Artificial Intelligence,2020
stefanvukcevic,BPP Law School,Law,2014
stefanvukcevic,University College London,French And Russian,2012
steffenmaier,Jönköping University,Strategic Entrepreneurship,2013
steffenmaier,Philipps,Business Administration,2012
steffenmaier,Tongji University,"Business, Economics And Chinese",2010
steffenmaier,University of Tübingen,International Economics And East Asian Studies,2011
stensjoberg,Princeton University,Computer Science,2021
steph_vasquez,Florida State University,Criminology,2010
stephaniemok,McGill University,Chemical Engineering,2021
stephaniemok,Western University,Pathology,2015
stephaniemok,Western University,Pathology And Toxicology,2013
stephaniewongso,Diablo Valley College,"Business Administration And Management, General",2015
stephaniewongso,"University of California, Berkeley, Haas School of Business","Business Administration And Management, General",2017
stephen_revamp,University of Southern California,Computer Science,2021
stephenlchen,University of Michigan,Industrial And Operations Engineering,2006
stephensonsco,University of Michigan,Particle Physics,2014
stephensonsco,University of Michigan,Physics,2012
stephensonsco,University of Missouri,Physics,2010
stephksong,Wellesley College,Political Science And Economics,2020
sterwill,University of Illinois Urbana-Champaign,Computer Science,1998
steve-roger,UC Berekeley,Computer Science,2014
stevedewald,Indiana University,"Finance, Computer Information Systems",2007
stevedomin,Le Mans Université,"Computer Science, Web, Communication",2008
stevedomin,SUPINFO International University,Computer Engineering,2010
stevejpurves,University of Newcastle upon Tyne (UK),Electrical And Electronic Eng,1997
stevepike,"The Wharton School, University of Pennsylvania",Economics,2009
stevepike,University of Pennsylvania,Computer Science,2009
stevesloane,Princeton University,Mechanical And Aerospace Engineering,2012
stewlamke,Loyola University Chicago,"Finance, Economics",2014
sthatipamala,Georgia Institute of Technology,Computer Science,2021
sthatipamala,"University of California, Berkeley",Electrical Engineering And Computer Science,2014
sthaviso,Chulalongkorn University,Computer Engineering,2004
sthaviso,Stanford University,Computer Science,2006
stickyfeet,"University of California, Berkeley",Physics,2002
stickyfeet,"University of California, San Francisco",Biophysics,2009
stilt,Columbia University,Computer Science,2010
stilt,Jaypee Institute of Information Technology University,Computer Science And Engineering,2007
stimmlerjohnson,California Institute of Technology,Electrical Engineering,2000
stivenmart,Y Combinator,Emprendimiento/estudios Sobre Emprendimiento,2020
stivenrodz,Universidad Cooperativa de Colombia,Negocios Internacionales/comercio Internacional,2015
streulpita,Brown University,"Applied Mathematics, Computer Science",2016
stuart8ol,University of Glasgow,Physics,2009
studyedge,University of Florida,Finance,2003
stylebee,Harvard Law School,Corporate Law And Economics,2005
stylebee,LUISS Guido Carli University,Law And Economics,1999
stylebee,SFDR Representative in UK,"Securities And Futures Authority, Uk Financial Derivatives And Futures",2001
stylebee,University College Cork,"Law, Economics, International Trade And Economics",1997
stylebee,Università di Modena,Finance And Accounting,2002
subomi,Landmark University,Accounting And Finance,2015
subomi,University of Lagos,Computer Science,2019
succarde,DePaul University,Business Administration,2011
succarde,Michigan State University,Bachelor Of Science,2006
suchintan,University of Waterloo,Systems Design Engineering,2015
sudhan-raj,Nanyang Technological University,Computer Engineering,2010
sudhindra108,MS Ramaiah Institute of Technology,Computer Science,2004
sudipm,"University of California, Berkeley",Reaction Engineering/applied Math,2003
sudiptafloworks,IIT Kharagpur,"Electrical, Electronics And Communications Engineering",2016
sudizhe,"University of California, Berkeley",Computer Science,2010
sudshekhar,IIIT Hyderabad,Computer Science,2015
suelap,ESMT Berlin,Business Innovation,2022
suelap,University of Tirana,Business Information Systems,2019
suhaimi-pandai,Massachusetts Institute of Technology,Mathematics,2005
sukrit,Princeton University,"Molecular Biology, Applied Mathematics",2011
sukrit,Stanford University,Chemical And Systems Biology,2017
sukrit,"Trinity College, University of Cambridge",Biological Sciences,2012
sukrit,University of Oxford,Biochemistry,2010
sultan1919,University of Virginia,Economics,2011
sultan1919,University of Virginia,"Mathematics, Economics",2001
sumanyusharma,University of Waterloo,Systems Design Engineering,2016
sumit_psp,University of Waterloo,Software Engineering,2013
sumitbmdi,Vellore Institute of Technology,Computer Science,2014
sumitranka,"Dwarkadas J.Sanghvi College Of Engineering,Mumbai",Electronics And Telecommunication,2012
sumitranka,Harvard University,Supply Chain Management And E,2013
sumitranka,"Indian Institute of Management, Ahmedabad",Food Supply Chain Management,2014
sumitranka,Mithibai College of Arts Chauhan Institute of Science and Amrutben Jivanlal College of Commerce and Economics,Science,2008
sundaypancakes,Georgia Institute of Technology,Computer Science,2005
sunnysng,Columbia University,"History, Economics, Statistics",2016
sunnysun515,New York University School of Medicine,Computational Biology,2019
sunnytsang,California College of the Arts,Graphic Design,2007
sunpeter,University of Waterloo,Electrical Engineering,2018
sunxin0524,Macau University of Science and Technology,"Finance, General",2012
sunxin0524,Newcastle University,Emarketing,2013
supanjosh,Ateneo de Davao University,"Business Administration And Management, General",2012
supercodepoet,Missouri Southern State University,"Marketing, Multimedia Design",1999
superkarn,University of Florida,Computer Engineering,2007
superkarn,University of Florida,Computer Science,2003
suprpuneet,IIT Bombay,Aerospace Engineering,2007
sur4js,Dartmouth College,"Computer Science, Computer Engineering",2022
suralil,Georgetown University,Business Administration,2004
suralil,Massachusetts Institute of Technology,Finance And Entrepreneurship,2010
suren,"Jawahar Higher Secondary School, Neyveli",Bio/math,2005
suren,"National Institute of Technology, Tiruchirappalli",Eee,2009
surendersingh,JC Bose University of Science and Technology,Mechanical Engineering,2011
surfacenexus,Harvard University,Engineering Sciences,2020
surfacenexus,University of Illinois Urbana-Champaign,Mechanical Engineering,2012
surgebiswas,Harvard University,Bioinformatics And Integrative Genomics,2020
surgebiswas,University of Cambridge,Plant Sciences,2015
surgebiswas,University of North Carolina at Chapel Hill,Mathematical Decision Sciences,2013
suryao,IIT Madras,Computer Science,2012
susanakc,Instituto Politécnico Nacional,Chemical Engineering,1980
susanakc,"Universidad Iberoamericana, Ciudad de México",Chemical Engineering,1976
susiekeeler,"University of California, Los Angeles",Business Economics,2002
susli,Johns Hopkins University School of Advanced International Studies (SAIS),International Development,2014
susli,"The Wharton School, University of Pennsylvania",Entrepreneurial Management,2014
susli,Yale University,"Economics, Chinese",2005
suzannerenee,"University of Massachusetts, Amherst",Business,2014
svandien,Rice University,Chemical Engineering,1991
svandien,"University of California, Berkeley",Chemical Engineering,1998
sven-adlung,Ernst-Litfaß-Schule OSZ Druck- und Medientechnik,Mediadesign Digital/print,2009
svenwildermann,Freie Universität Berlin,Computer Science,2014
svenwildermann,Uppsala University,Computer Science,2015
svetha,University of Minnesota,Economics And Ba Global Studies,2008
swampthing,University of Washington,Computer Science,2004
swapniljain,IIT Delhi,Computer Science,2012
swaroopfp,Anna University,Electronics And Communications Engineering,2011
swaroopfp,Indian Institute of Management Kozhikode,Marketing,2013
syrusakbary,Universidad Complutense de Madrid,Mathematics,2011
sytse,Universiteit Twente,Management Science,2003
sytse,University of Twente,Engineering Physics/applied Physics,1998
szahid,FOUNDER FUEL,Startup Vanhawks,2013
szahid,Lakehead University,Health/medicine,2012
szahid,York University,Math/biology,2006
ta412,Georgetown University,Technology And International Affairs,2018
ta412,Schwarzman College,Master's Of Management Science,2021
taariqlewis,MIT Sloan School of Management,"Finance, Operations Research, And Entrepreneurship And Innovation",2009
tadmilbourn,Wisconsin School of Business,Management,2006
taiebbennani,HEC Paris,Managment,2022
taiebbennani,Massachusetts Institute of Technology,Business Analytics And Management Science,2024
taiebbennani,University College London,Biomedical Engineering With Machine Learning,2021
taiebbennani,Yale University,Bioinformatics And Computational Biology,2023
tailornova,Y Combinator,Startups,2019
taishi8117,Yale University,Computer Science,2018
taksingwong,Harvard University,Materials Science,2012
taksingwong,The Chinese University of Hong Kong,Robotics And Micro,2003
taksingwong,"University of California, Los Angeles",Mechanical Engineering,2009
tal-slauth,Ben-Gurion University of the Negev,Computer Science,2013
talboren,The Interdisciplinary Center,Entrepreneurship/entrepreneurial Studies,2021
talguire,University of Waterloo,Electrical Engineering,2021
talvinder,IIT Bombay,Aerospace Engineering,2008
taman,Army Institute of Technology,Information Technology,2006
tamarabyte,University of Alberta,Computer Science,2015
tamir_shklaz,University of Cape Town,Electrical And Computer Engineering,2020
tang8330,Wilfrid Laurier University,Computer Science,2015
tangdrew,Northwestern University,Industrial Engineering,2017
tangjeff0,Rice University,Undergraduate,2017
tanmaya_jain,Shiv Nadar University,Computer Science Major,2016
tanmaya_jain,The Shri Ram School,"Isc, Computer Science, 97%",2012
tanmaya_jain,Y Combinator,Summer 2020,2020
tanto,Technische Universität Berlin,Electrical Engineering,2012
tanuj98,The University of Texas at Dallas,Computer Science,2019
tanvisurti1,Bryn Mawr College,Computer Science,2012
tappityapp,Oregon State University,Computer Science,2013
tarajraffi,"University of California, Berkeley",Business Administration,2011
tarunb,IIT Kharagpur,Structural Engineering,2007
tarunb,Indian School of Business,Marketing And Strategy,2011
tarzan,Morehouse College,Computer Science,2011
tashmahalic,Brown University,"Computer Science, Finance, Neuroscience",2000
taurusismysign,Pune Institute of Computer Technology,Computer Science,2002
taurussai,Georgia Institute of Technology,Aerospace Engineering,2007
taurussai,Georgia Institute of Technology,Strategy/operations,2010
taurussai,IIT Madras,Aerospace Engineering,2005
tavozg,Instituto Tecnológico y de Estudios Superiores de Monterrey / ITESM,Industrial Engineering,2010
taydr,California College of the Arts,Interaction Design,2013
taylorbaldwin,Missouri State University,Music,2010
taylorhelgren,Harvard University,Political Science And Government,2011
taylorwcbrown,California College of the Arts,Masters In Business Administration Focused In Design Strategy,2014
tcokoro,Massachusetts Institute of Technology,Computer Science,2014
td_quang,Carleton College,Computer Science,2016
tdaltonc,Lehigh University,Biophysics,2008
tdaltonc,University of Southern California,Neuroscience/economics,2016
tdavis,Miami University,Computer Science,2006
tdeang,Luiss University,Business And Economics,2010
tdemmer,Carnegie Mellon University,Business Administration,2015
tdfirth,University of Oxford,Software Engineering,2024
tdingman,Boston College,"Physics, Philosophy",2008
tdingman,Brown University,Electrical Engineering,2012
